areaSource|areaSourceHigh|areaSourceLow|areaTotal|associationId|datlocation|depth|endtime|eventid|h|hHigh|hLow|hfall|hfall_high|hfall_low|l|lHigh|lLow|latitude|locuncertKm|longitude|lppotential|mass|massHigh|massLow|maxdistvhfKm|maxdistvhfReached|maxdisthfKm|maxdisthfReached|maxdistipKm|maxdistipReached|maxdistlpKm|maxdistlpReached|maxdistinfraKm|maxdistinfraReached|infraDetected|name|otherdataquality1to5|peakDischarge|peakDischargeLow|peakDischargeHigh|peakFlowheight|peakFlowheightLow|peakFlowheightHigh|starttime|sources|toeLat|toeLon|topLat|topLon|upstreamDrainarea|type|subtype|volume|volumeHigh|volumeLow
22000.00000|33000.00000|15000.00000|370000.00000|161|IRIS||2019_03_26 180129|161|1300.00000|1400.00000|1200.00000||||2500.00000|2600.00000|2400.00000|60.02850|0.00000|-153.09240|0||||||285.00000|True|||0.00000||0.00000||False|Umbrella Glacier, Iliamna|4|||||||2019_03_26 180044|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|60.01110|-153.11590|60.02850|-153.09240||rock avalanche|Rock/ice/debris avalanches and slides|310000.00000|450000.00000|220000.00000
||||164|IRIS||2021_04_07 132358|164||||||||||61.29920|3.00000|-152.25420|0||||||281.00000|True|||0.00000||186.00000|True|True|Mount Spurr|1|||||||2021_04_07 132206|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||landslide|Rock/ice/debris avalanches and slides|||
||||202|IRIS, RESIF, ETH, INGV||2017_09_29 031051|202||||||||||45.88487|0.40000|6.89319|0||||||214.00000|False|||0.00000|||||Eperon Tournier, France|4|||||||2017_09_29 030911|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||rock fall|Rock/debris falls|75000.00000|100000.00000|50000.00000
||||255|BGR, ETH||2002_07_13 130437|255|1000.00000||||||1300.00000|||46.34038|0.05000|9.63292|0||||||259.00000|False|||0.00000|||||Vicosoprano, Switzerland|4|||||||2002_07_13 130223|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|46.34784|9.62674|46.34038|9.63292||rock slide|Rock/ice/debris avalanches and slides|50000.00000|60000.00000|40000.00000
||||242|IRIS, INGV, BGR, ETH||2008_08_18 101637|242|200.00000||||||260.00000|||46.59721|0.20000|8.05380|0||||||244.00000|False|||0.00000|||||Eiger 4, Switzerland|3|||||||2008_08_18 101457|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||rock fall|Rock/debris falls|46000.00000|55200.00000|36800.00000
||||173|IRIS||2021_02_16 170957|173||||||||||45.38170|0.50000|-121.69570|0||||||16.00000|True|||0.00000||0.00000||False|Coe Glacier, Mount Hood|1|||||||2021_02_16 170614|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||snow avalanche|Snow avalanches|||
||||191|RASPISHAKE, RESIF, INGV||2020_12_20 065705|191||||||||||44.94068|0.55000|6.46115|0||||||86.00000|False|||0.00000|||||Grand Tabuc, France|4|||||||2020_12_20 065548|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||rock fall|Rock/debris falls|||
||||208|LMU, ETH, INGV||2012_03_22 225456|208||||||||||47.35350|0.15000|11.00410|0||||||155.00000|False|||0.00000|||||Hochwand, Austria|3|||||||2012_03_22 225325|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||rock slide|Rock/ice/debris avalanches and slides|150000.00000||
||||9|IRIS||1997_10_24 143119|9|1200.00000|1300.00000|1100.00000||||2500.00000|2800.00000|2200.00000|46.20171|0.00000|-121.48164|0||||||45.00000|True|||0.00000|||||Mount Adams|1|||||||1997_10_24 142903|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|||46.20171|-121.48164||rock fall|Rock/debris falls|||
||||146|IRIS, GFZ, ORFEUS, IPGP, ISC||2009_08_14 200029|146|||2200.00000||||8000.00000|||14.59516|1.00000|144.77155|1||||||126.00000|False|||126.00000|False||||NW Rota 1|5|||||||2009_08_14 153855|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||submarine landslide|Rock/ice/debris avalanches and slides||53000000.00000|
||||85|IRIS, NCEDC||2000_02_22 163708|85||||||||||37.73890|0.20000|-119.61430|0||||||157.00000|True|||0.00000|||||Middle Brother|5|||||||2000_02_22 163448|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;||||||rock fall|Rock/debris falls|17477.00000||
400000.00000|480000.00000|340000.00000|500000.00000|182|IRIS||2011_03_10 141451|182|600.00000|800.00000|500.00000||||2700.00000|3200.00000|2100.00000|45.35093|0.05000|-121.65988|0||||||33.00000|True|||0.00000|||||Mount Hood Ski area|3|||||||2011_03_10 141224|Steve Malone|45.34376|-121.64829|45.36119|-121.67790||snow avalanche|Snow avalanches|800000.00000|1200000.00000|400000.00000
