,areaSource,areaSourceHigh,areaSourceLow,areaTotal,associationId,datlocation,depth,endtime,eventid,h,hHigh,hLow,hfall,hfall_high,hfall_low,l,lHigh,lLow,latitude,locuncertKm,longitude,lppotential,mass,massHigh,massLow,maxdistvhfKm,maxdistvhfReached,maxdisthfKm,maxdisthfReached,maxdistipKm,maxdistipReached,maxdistlpKm,maxdistlpReached,maxdistinfraKm,maxdistinfraReached,infraDetected,name,otherdataquality1to5,peakDischarge,peakDischargeLow,peakDischargeHigh,peakFlowheight,peakFlowheightLow,peakFlowheightHigh,starttime,sources,toeLat,toeLon,topLat,topLon,upstreamDrainarea,type,subtype,volume,volumeHigh,volumeLow
99,,,,,334,IRIS,,2024_02_12 140153,334,170.0,230.0,150.0,,,,400.0,550.0,350.0,46.2091,0.04,-122.194,0,,,,,,16.0,True,,,0.0,,0.0,,False,"NW Dome, Mount St Helens",2,,,,,,,2024_02_12 140039,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.2128,-122.1926,46.2091,-122.194,,snow avalanche,Snow avalanches,,,
116,,,,,316,"NCEDC, IRIS",,2022_07_27 071029,316,,,,,,,,,,41.3907,1.0,-122.1855,0,,,,10.0,1.0,58.0,True,,,0.0,,10.0,True,True,"Mud Creek, Mount Shasta",3,,,,,,,2022_07_26 221603,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,debris flow,Lahar/debris flow/outburst flood,,,
119,,,,,23,IRIS,,2005_09_14 200208,23,2430.0,,,,,,9000.0,,,60.51715,0.0,-143.09155,1,81000000000.0,,,,,1082.0,True,,,1100.0,False,,,,Mount Steller,5,,,,,,,2005_09_14 195938,"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;",,,,,,rock and ice avalanche,Rock/ice/debris avalanches and slides,50000000.0,60000000.0,40000000.0
145,,,,1500000.0,312,"IRIS, ETH, GEOFON",,2018_07_07 051858,312,500.0,,,,,,2000.0,2500.0,,64.7943,0.0,-22.1336,1,,,,,,96.0,True,,,39.0,True,0.0,,False,"Fagraskógarfjall, Iceland",5,,,,,,,2018_07_07 051651,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",64.7791,-22.0955,64.7943,-22.1336,,landslide,Rock/ice/debris avalanches and slides,13500000.0,20000000.0,7000000.0
163,,,,,314,"NCEDC, IRIS",,2022_07_16 080146,314,,,,,,,,,,41.3907,1.0,-122.1855,0,,,,10.0,1.0,14.0,True,,,0.0,,10.0,True,True,"Mud Creek, Mount Shasta",2,,,,,,,2022_07_16 015433,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,debris flow,Lahar/debris flow/outburst flood,,,
166,,,,,335,IRIS,,2023_12_10 190808,335,1300.0,1500.0,900.0,,,,2900.0,3200.0,2700.0,46.8612,0.0,-121.739,0,,,,,,78.0,True,,,0.0,,9.0,True,True,"Emmons Glacier, Mount Rainier",4,,,,,,,2023_12_10 190445,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.8739,-121.7069,46.8612,-121.739,,snow avalanche,Snow avalanches,,,
169,,,,160000.0,324,"IRIS, ETH, INGV",,2023_07_30 135955,324,590.0,620.0,560.0,,,,1000.0,,,46.8932,0.0,8.8619,1,,,,,,312.0,True,,,203.0,True,,,,"Gwalpeten, Switzerland",4,,,,,,,2023_07_30 135827,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.8972,8.8511,46.8932,8.8619,,"rock slide, rock avalanche",Rock/ice/debris avalanches and slides,480000.0,,
176,52000.0,59000.0,40000.0,900000.0,321,"IRIS, ETH, INGV",,2023_06_11 133158,321,930.0,970.0,740.0,,,,2600.0,3100.0,2100.0,46.8908,0.0,10.2275,2,,,,,,492.0,False,,,,,,,,"Flüchthorn, Austria",4,,,,,,,2023_06_11 132829,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.8856,10.1957,46.8908,10.2275,,rock avalanche,Rock/ice/debris avalanches and slides,1000000.0,,
180,,,,,329,IRIS,,2023_04_24 163930,329,,,,,,,2900.0,3200.0,2700.0,45.3329,0.1,-121.7021,0,,,,,,19.0,True,,,0.0,,0.0,,False,"White River, Mount Hood",3,,,,,,,2023_04_24 162125,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",45.3119,-121.6829,45.3329,-121.7021,,snow avalanche,Snow avalanches,330000.0,,33000.0
183,,,,3400000.0,336,IRIS,,2016_06_28 182403,336,200.0,,,,,,3800.0,,,58.74666,0.0,-136.88693,0,,,,,,303.0,True,,,0.0,,0.0,,False,Lamplugh Glacier secondary,5,,,,,,,2016_06_28 182114,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",58.77758,-136.88564,58.74666,-136.88693,,rock avalanche,Rock/ice/debris avalanches and slides,1900000.0,4200000.0,
