time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-30T20:01:45.434Z,43.6326,-105.3545,0,3.3,ml,12,73,1.071,0.38,us,us7000nv6e,2025-02-02T00:50:20.040Z,"17 km SE of Wright, Wyoming",mining explosion,5.58,1.539,0.052,48,reviewed,us,us
2024-11-25T20:45:35.767Z,43.5499,-105.4263,0,2.8,ml,20,74,1.157,0.54,us,us7000nxm7,2025-02-02T00:50:21.040Z,"22 km SSE of Wright, Wyoming",mining explosion,6.26,1.195,0.059,38,reviewed,us,us
2024-11-23T20:59:47.631Z,43.7051,-105.382,0,3,ml,13,120,1.058,1.07,us,us7000nwnf,2025-01-30T17:00:37.040Z,"10 km ESE of Wright, Wyoming",mining explosion,6.02,1.766,0.081,20,reviewed,us,us
2024-11-21T19:02:35.949Z,43.6911,-105.3445,0,3.1,ml,20,76,1.039,0.46,us,us6000p6u3,2025-01-30T17:00:31.040Z,"13 km ESE of Wright, Wyoming",mining explosion,7.47,1.362,0.115,10,reviewed,us,us
2024-11-20T20:05:54.333Z,43.5624,-105.3253,0,3.3,ml,21,77,1.087,1.02,us,us6000p6ma,2025-01-30T17:00:31.040Z,"24 km SSE of Wright, Wyoming",mining explosion,7.3,1.706,0.045,66,reviewed,us,us
2024-11-19T20:59:14.913Z,43.7137,-105.3334,0,3.4,ml,11,77,1.022,1.01,us,us6000p6fb,2025-01-30T17:00:30.040Z,"13 km ESE of Wright, Wyoming",mining explosion,3.22,1.74,0.045,70,reviewed,us,us
2024-11-19T19:03:29.248Z,43.806,-105.3713,0,3.2,ml,18,126,1.015,0.27,us,us6000p6f0,2025-01-30T17:00:30.040Z,"11 km ENE of Wright, Wyoming",mining explosion,4.25,1.743,0.048,60,reviewed,us,us
2024-11-18T21:57:42.701Z,40.6676,-109.4867,0,3,ml,34,85,0.115,0.54,us,us7000nsi7,2025-01-30T17:00:35.040Z,"22 km NNE of Maeser, Utah",mining explosion,2.49,1.703,0.045,66,reviewed,us,us
2024-11-17T20:15:41.158Z,43.5247,-105.3983,0,2.8,ml,16,110,1.152,0.62,us,us7000nsbc,2025-01-26T16:30:41.040Z,"26 km SSE of Wright, Wyoming",mining explosion,8.34,1.722,0.069,28,reviewed,us,us
2024-11-13T21:01:16.403Z,43.742,-105.3365,0,3.5,ml,36,106,1.013,0.54,us,us7000nux3,2025-01-26T16:30:59.040Z,"12 km E of Wright, Wyoming",mining explosion,6.91,1.349,0.045,70,reviewed,us,us
