,areaSource,areaSourceHigh,areaSourceLow,areaTotal,associationId,datlocation,depth,endtime,eventid,h,hHigh,hLow,hfall,hfall_high,hfall_low,l,lHigh,lLow,latitude,locuncertKm,longitude,lppotential,mass,massHigh,massLow,maxdistvhfKm,maxdistvhfReached,maxdisthfKm,maxdisthfReached,maxdistipKm,maxdistipReached,maxdistlpKm,maxdistlpReached,maxdistinfraKm,maxdistinfraReached,infraDetected,name,otherdataquality1to5,peakDischarge,peakDischargeLow,peakDischargeHigh,peakFlowheight,peakFlowheightLow,peakFlowheightHigh,starttime,sources,toeLat,toeLon,topLat,topLon,upstreamDrainarea,type,subtype,volume,volumeHigh,volumeLow
58,,,,,327,IRIS,,2024_02_10 200513,327,400.0,600.0,300.0,,,,500.0,700.0,400.0,46.8406,0.1,-121.7499,0,,,,,,17.0,True,,,0.0,,8.0,True,True,"Nisqually, Mount Rainier",3,,,,,,,2024_02_10 200323,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.8374,-121.7451,46.8406,-121.7499,,"ice fall, snow avalanche",Snow avalanches,,,
59,350000.0,400000.0,260000.0,4800000.0,267,IRIS,,2017_12_16 120706,267,1200.0,1300.0,1100.0,,,,10800.0,12000.0,,-43.3599,0.0,-72.43125,1,,,,,,331.0,True,,,433.0,False,,,,"Villa Santa Lucía, Chile",5,300000.0,,,30.0,20.0,50.0,2017_12_16 120213,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",-43.42634,-72.37298,-43.3599,-72.43125,,"rock slide, debris flow",Rock/ice/debris avalanches and slides,7200000.0,12500000.0,3400000.0
60,41000.0,52000.0,34000.0,510000.0,310,"IRIS, ORFEUS",,2023_08_03 105917,310,790.0,940.0,660.0,,,,1800.0,2100.0,1500.0,42.7495,0.0,43.7694,1,,,,,,270.0,True,,,489.0,True,,,,"Tbilisa Glacier-Shovi 1, Georgia",4,,,,,,,2023_08_03 105653,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",42.7397,43.7615,42.7495,43.7694,,rock and ice avalanche,Rock/ice/debris avalanches and slides,1200000.0,,560000.0
61,,,,,320,IRIS,,2023_08_16 000658,320,,,,,,,4600.0,5900.0,3200.0,46.8203,0.1,-121.8091,0,,,,11.0,,21.0,True,,,0.0,,7.0,True,True,"Tahoma Creek, Mount Rainier",4,,,,,1.5,2.0,2023_08_15 232316,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,46.8203,-121.8091,,"outburst flood, debris flow",Lahar/debris flow/outburst flood,,,
62,,,,450000.0,326,IRIS,,2024_08_07 125839,326,,,460.0,,,,1500.0,,,59.9076,0.0,-149.8217,1,,,,,,472.0,False,,,498.0,False,0.0,,False,Pedersen Lagoon,4,,,,,,,2024_08_07 125442,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,59.9038,-149.8246,,landslide,Rock/ice/debris avalanches and slides,4300000.0,4900000.0,3400000.0
63,25000.0,42000.0,17000.0,1000000.0,283,IRIS,,2020_10_17 212118,283,770.0,790.0,750.0,,,,2200.0,2500.0,2000.0,61.2411,0.0,-147.9429,1,,,,,,344.0,True,,,500.0,False,0.0,,False,Barry Arm,4,,,,,,,2020_10_17 211800,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",61.2492,-147.9713,61.2411,-147.9429,,rock and ice avalanche,Rock/ice/debris avalanches and slides,370000.0,560000.0,250000.0
64,14000.0,21000.0,7000.0,91000.0,288,IRIS,,2013_05_12 190557,288,350.0,,,,,,580.0,640.0,530.0,56.9267,0.0,-135.1338,0,,,,,,19.0,True,,,0.0,,,,,Redoubt Lake,4,,,,,,,2013_05_12 190443,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",56.9222,-135.1368,56.9267,-135.1338,,landslide,Rock/ice/debris avalanches and slides,160000.0,260000.0,100000.0
65,330000.0,400000.0,250000.0,7300000.0,286,IRIS,,2022_09_17 181409,286,1080.0,1100.0,1000.0,,,,6300.0,6400.0,6200.0,58.7405,0.0,-136.9573,1,,,,,,500.0,False,,,500.0,False,200.0,True,True,Lamplugh Glacier,4,,,,,,,2022_09_17 181018,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",58.7628,-136.8609,58.7405,-136.9573,,rock avalanche,Rock/ice/debris avalanches and slides,14000000.0,20000000.0,10000000.0
66,,,,,306,"IRIS, INGV, ETH",,2014_11_12 121609,306,1600.0,,,,,,2000.0,,,46.4535,0.0,12.2607,1,,,,,,382.0,True,,,73.0,True,,,,"Antelao, Italy",5,,,,,,,2014_11_12 121409,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.4642,12.2377,46.4535,12.2607,,rock slide,Rock/ice/debris avalanches and slides,680000.0,,
67,,,,,315,"NCEDC, IRIS",,2022_07_26 082142,315,,,,,,,,,,41.3907,1.0,-122.1855,0,,,,10.0,1.0,34.0,True,,,0.0,,10.0,True,True,"Mud Creek, Mount Shasta",3,,,,,,,2022_07_25 223224,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,debris flow,Lahar/debris flow/outburst flood,,,
