starttime,endtime,label,date,max_prob,mean_prob
30990.0,31100.0,surface,2025-06-30,0.8287963151931763,0.4874632449612915
32950.0,33110.0,surface,2025-06-30,0.8079201042652131,0.3940506370870828
34950.0,35110.0,surface,2025-06-30,0.9999927759170533,0.6912961394333466
36890.0,37050.0,surface,2025-06-30,0.5203918442130089,0.3661021187840895
38170.0,38270.0,surface,2025-06-30,0.748464846611023,0.41410277768035575
38370.0,38440.0,surface,2025-06-30,0.5757514625787735,0.3588451898904168
38650.0,38790.0,surface,2025-06-30,0.792371642589569,0.45347074883601945
39610.0,39730.0,surface,2025-06-30,0.5698769859969616,0.3150418536880842
39840.0,39980.0,surface,2025-06-30,0.7018337041139603,0.3587965906151416
40120.0,40230.0,surface,2025-06-30,0.5814319081604481,0.350268352182682
40430.0,40510.0,surface,2025-06-30,0.7376605316996575,0.425913353130861
41020.0,41090.0,surface,2025-06-30,0.6359354220330715,0.40224655097126744
42270.0,42340.0,surface,2025-06-30,0.5602597534656525,0.3487703343598971
44610.0,44790.0,surface,2025-06-30,0.5016771554946899,0.2920323896839065
44910.0,45010.0,surface,2025-06-30,0.5424873432144522,0.35877128681419407
60.0,240.0,surface,2025-07-01,0.679764699935913,0.37709433496891415
2940.0,3020.0,surface,2025-07-01,0.7257670611143111,0.4078232426737991
6050.0,6200.0,surface,2025-07-01,0.6965015378780663,0.3733548282326638
6330.0,6410.0,surface,2025-07-01,0.6174430191516876,0.32950760126699374
7690.0,7750.0,surface,2025-07-01,0.5091896167024971,0.34230605676343007
12030.0,12120.0,surface,2025-07-01,0.7380496259778738,0.37554632371524355
12490.0,12600.0,surface,2025-07-01,0.6978130400180816,0.4594600309763337
19330.0,19440.0,surface,2025-07-01,0.8747958660125734,0.434686632023416
20240.0,20340.0,surface,2025-07-01,0.6508212119340897,0.38579429127275944
22160.0,22230.0,surface,2025-07-01,0.5651147603988648,0.349315950970572
22430.0,22500.0,surface,2025-07-01,0.5075821736827493,0.3146501756359271
22930.0,23010.0,surface,2025-07-01,0.5408462688326836,0.3404858160757512
510.0,590.0,surface,2025-07-01,0.7765529036521912,0.4714856515481693
600.0,670.0,surface,2025-07-01,0.5089540880639106,0.31711854103888926
1940.0,2020.0,surface,2025-07-01,0.5698910355567932,0.35114373518881625
2060.0,2130.0,surface,2025-07-01,0.5508794337511063,0.3367122844318288
2750.0,2850.0,surface,2025-07-01,0.6521570950746536,0.39968548685058275
4170.0,4250.0,surface,2025-07-01,0.6122286498546601,0.3443160647523327
5810.0,5870.0,surface,2025-07-01,0.5052565172314645,0.3444211142195855
6700.0,6790.0,surface,2025-07-01,0.7277305364608766,0.4081645850986712
8330.0,8410.0,surface,2025-07-01,0.5408314168453218,0.3191833559059483
15130.0,15210.0,surface,2025-07-01,0.7491264998912811,0.41290660601258017
15430.0,15530.0,surface,2025-07-01,0.737706719338894,0.45269892410664897
16310.0,16470.0,surface,2025-07-01,0.7935484826564789,0.43313998644889046
16860.0,16940.0,surface,2025-07-01,0.6343982636928558,0.35020139600803507
17740.0,17910.0,surface,2025-07-01,0.8444339931011201,0.42590581145536566
18910.0,19020.0,surface,2025-07-01,0.7316247165203095,0.45733818211604854
19780.0,19860.0,surface,2025-07-01,0.7706452727317811,0.45645852794275726
20510.0,20620.0,surface,2025-07-01,0.8165843725204468,0.5267873763744945
20730.0,20860.0,surface,2025-07-01,0.5109025033190847,0.3297560099235852
21880.0,22000.0,surface,2025-07-01,0.8945909500122071,0.42867306549684986
22040.0,22110.0,surface,2025-07-01,0.503981701284647,0.314857473608572
23370.0,23490.0,surface,2025-07-01,0.516111670434475,0.3167352473695736
23930.0,24050.0,surface,2025-07-01,0.92202605009079,0.4304482895243243
26050.0,26140.0,surface,2025-07-01,0.5159856908023357,0.26162655021107645
26980.0,27200.0,surface,2025-07-01,0.9999971866607666,0.6470027412197485
28520.0,28600.0,surface,2025-07-01,0.5643911972641946,0.31473474439026305
30170.0,30280.0,surface,2025-07-01,0.8067278325557709,0.48056916338459815
30550.0,30650.0,surface,2025-07-01,0.9811512112617493,0.5785721414039885
31350.0,31450.0,surface,2025-07-01,0.5472467314451932,0.3429271271120642
32670.0,32760.0,surface,2025-07-01,0.7678478479385377,0.42619821276151926
33290.0,33380.0,surface,2025-07-01,0.8277173161506652,0.44508866657968615
33570.0,33750.0,surface,2025-07-01,0.6632594764232637,0.33753431725413785
35210.0,35280.0,surface,2025-07-01,0.5899453610181808,0.3715674321524769
36310.0,36390.0,surface,2025-07-01,0.7430229492485524,0.44090836336318817
39760.0,39830.0,surface,2025-07-01,0.503159562998917,0.3145125306377053
42270.0,42400.0,surface,2025-07-01,0.7137205839157105,0.46489163351694257
43670.0,43790.0,surface,2025-07-01,0.6979790747165681,0.4226311086007145
44860.0,44990.0,surface,2025-07-01,0.8980013608932496,0.5875118343273155
46270.0,46380.0,surface,2025-07-01,0.5157660467550158,0.30102246960832674
46890.0,46960.0,surface,2025-07-01,0.55223328769207,0.3473684772165143
50460.0,50710.0,surface,2025-07-01,0.682726913690567,0.39357820980013236
53850.0,53950.0,surface,2025-07-01,0.625524091720581,0.38484509349292984
56290.0,56360.0,surface,2025-07-01,0.6700696186162532,0.40976847604374605
57450.0,57540.0,surface,2025-07-01,0.7733320444822311,0.4161111120413989
58020.0,58130.0,surface,2025-07-01,0.9334317445755005,0.5521338854926096
58700.0,58800.0,surface,2025-07-01,0.5180453494191171,0.3387716919058056
60560.0,60630.0,surface,2025-07-01,0.5667907238006592,0.3727178860680397
60780.0,60840.0,surface,2025-07-01,0.501095711439848,0.34367989273154576
820.0,900.0,surface,2025-07-02,0.5182234220206738,0.3266592274639859
1400.0,1500.0,surface,2025-07-02,0.6188658433035017,0.3376517311758451
1890.0,2010.0,surface,2025-07-02,0.7556211024522782,0.4651276767881708
2450.0,2580.0,surface,2025-07-02,0.995766830444336,0.6098886912378985
3180.0,3270.0,surface,2025-07-02,0.5581250468268991,0.31801511960482454
3740.0,3820.0,surface,2025-07-02,0.7962072551250459,0.44775941482946824
4860.0,4950.0,surface,2025-07-02,0.6432147726416588,0.3593320189096266
6330.0,6400.0,surface,2025-07-02,0.5560538899153471,0.3644755707855538
6430.0,6590.0,surface,2025-07-02,0.8968711018562318,0.5013327679705218
7100.0,7220.0,surface,2025-07-02,0.9893378376960754,0.6037487450477085
7510.0,7580.0,surface,2025-07-02,0.5227573402225972,0.3310463438280522
11530.0,11650.0,surface,2025-07-02,0.6227084463462235,0.3433839443681511
